age,weight_kg,height_cm,vaccinated,is_male,health_score,exercise_hours,feeding_frequency,grooming_needs
1,21.22,37,False,True,3.43,2.22,thrice,4
4,20.86,58,True,True,7.1,0.72,thrice,1
4,22.89,73,True,False,6.78,3.95,twice,1
9,9.39,35,False,True,6.51,1.67,twice,4
8,31.34,74,True,False,7.02,1.99,thrice,8
10,14.89,57,False,True,5.81,3.55,twice,10
10,22.8,37,False,True,4.2,2.06,twice,1
1,13.73,64,False,True,7.39,2.23,four times,7
1,26.81,94,True,False,0.69,3.32,twice,8
4,13.26,87,False,True,5.61,1.0,twice,10
7,19.92,60,False,False,6.77,0.62,four times,3
4,38.4,58,False,True,8.43,2.03,twice,3
7,24.63,47,True,True,1.14,0.87,four times,5
5,38.09,32,False,True,4.35,0.26,twice,3
2,12.52,75,False,True,9.91,3.81,four times,3
10,33.33,79,False,True,2.85,4.7,four times,9
10,16.25,38,False,False,4.94,3.83,four times,10
4,8.64,83,True,True,7.76,1.42,thrice,3
7,29.91,80,False,False,9.48,4.94,thrice,10
3,34.48,86,False,True,7.54,4.77,thrice,9
2,39.83,57,False,False,1.89,3.88,four times,1
9,38.12,63,True,False,1.35,2.11,thrice,3
1,5.25,35,True,True,8.86,0.96,thrice,8
8,37.45,56,True,False,0.85,1.52,twice,9
9,35.09,78,False,False,5.59,4.39,four times,10
2,21.45,68,True,True,9.19,1.37,twice,3
3,12.2,49,True,False,1.95,1.78,thrice,8
8,37.59,58,False,False,9.89,1.22,thrice,1
2,10.14,83,True,False,8.64,4.9,thrice,3
9,30.98,30,False,False,1.2,3.35,twice,4
4,22.69,40,False,False,5.05,4.23,twice,1
5,14.86,58,True,True,6.75,1.17,four times,6
10,30.61,41,True,False,4.73,0.02,thrice,4
3,36.95,53,False,False,4.16,0.97,twice,4
8,19.16,47,False,False,9.75,4.48,twice,9
6,30.38,22,True,True,6.96,4.81,twice,4
5,23.48,74,True,False,1.53,2.46,thrice,8
6,14.81,57,False,False,1.15,1.84,thrice,5
10,22.2,49,True,False,1.06,3.95,thrice,2
9,23.81,30,False,False,8.66,4.52,four times,10
1,21.64,37,True,True,1.75,2.52,twice,5
3,16.29,60,False,True,1.17,0.96,thrice,9
3,18.26,31,True,True,6.94,3.69,thrice,4
7,28.47,26,True,True,1.28,0.54,twice,10
10,37.16,85,False,False,3.74,1.42,thrice,7
7,27.88,96,True,True,6.08,1.99,twice,8
9,33.97,24,True,False,2.78,2.46,four times,7
1,16.91,77,True,True,8.2,4.2,four times,3
7,7.41,47,True,False,0.37,4.7,thrice,5
2,9.85,46,True,True,2.87,0.52,thrice,6
6,7.47,99,False,True,2.13,1.92,twice,7
6,21.15,64,False,True,9.24,1.97,four times,2
8,29.97,48,False,False,9.11,4.65,twice,7
2,23.98,77,True,False,5.3,1.75,thrice,6
2,17.24,70,True,False,9.58,0.85,twice,5
1,14.88,39,True,True,9.01,1.91,twice,9
9,16.5,22,True,False,8.3,4.73,twice,2
1,30.6,21,True,True,9.48,0.93,twice,4
4,14.98,83,False,False,0.91,1.98,four times,1
8,14.82,43,True,True,1.69,0.38,thrice,9
5,19.23,26,False,False,2.76,3.54,twice,1
7,12.06,39,True,True,3.74,4.79,thrice,3
10,37.28,66,True,True,4.56,2.88,thrice,2
8,36.28,30,True,True,2.97,3.79,twice,5
6,11.72,77,True,True,2.7,4.4,four times,6
6,8.29,93,True,True,9.08,0.98,thrice,7
5,13.22,48,True,False,0.16,0.37,four times,7
10,26.54,73,False,True,7.79,0.12,thrice,6
3,23.54,25,True,True,9.32,0.73,four times,10
7,23.57,78,False,False,7.77,2.95,thrice,6
3,11.44,65,True,False,8.55,0.57,four times,5
10,7.1,32,True,False,7.31,0.8,four times,7
6,10.52,97,False,False,7.59,2.57,four times,1
5,16.8,26,False,False,8.2,2.13,twice,3
9,18.47,51,False,False,9.13,0.47,twice,10
6,33.15,41,True,True,5.98,2.19,four times,9
5,30.48,44,False,False,8.5,0.67,four times,4
8,11.34,50,False,True,5.44,4.2,four times,5
8,8.89,43,True,False,6.96,2.89,thrice,6
5,31.52,20,False,False,4.56,3.44,thrice,10
2,9.83,91,True,True,5.68,0.66,twice,8
8,27.7,96,True,True,3.36,0.98,four times,4
5,30.76,89,False,True,1.19,0.54,twice,4
8,33.17,81,True,False,0.12,4.08,thrice,9
10,5.98,71,False,True,0.76,0.74,four times,3
7,24.47,22,True,True,8.8,4.99,thrice,8
3,37.85,97,False,False,0.86,3.57,four times,2
5,21.91,82,True,False,6.5,1.29,thrice,2
4,24.66,75,False,False,4.87,3.17,twice,6
9,9.15,72,False,False,7.78,4.39,four times,6
4,37.81,35,False,True,3.51,2.07,twice,7
9,31.92,43,True,False,0.85,0.27,twice,4
8,9.8,90,True,True,7.29,3.32,thrice,7
6,9.61,35,True,True,7.34,3.69,twice,10
4,17.8,30,True,False,6.7,3.5,thrice,8
1,18.94,77,False,True,5.1,0.68,twice,5
2,14.53,70,False,False,0.86,4.76,thrice,7
4,29.81,75,True,True,9.95,0.35,thrice,7
9,19.75,70,True,False,4.8,2.29,four times,5
10,29.4,39,False,True,1.96,2.19,twice,5
5,8.54,49,False,False,9.16,3.38,thrice,7
1,6.69,86,True,True,6.21,0.4,twice,10
6,14.19,68,False,False,6.0,1.04,twice,3
10,10.88,53,True,False,7.38,1.16,twice,1
9,8.33,95,True,False,1.52,3.69,twice,6
5,37.6,56,False,True,3.59,1.69,twice,9
9,35.84,71,True,True,1.04,0.1,thrice,7
3,6.27,30,False,True,2.95,3.49,twice,3
3,22.3,91,False,True,9.26,4.75,twice,5
1,9.53,33,False,True,1.63,1.51,four times,2
4,30.2,88,False,False,7.31,4.82,four times,5
3,6.07,52,False,True,6.44,0.03,twice,9
7,25.53,78,True,True,7.46,2.22,four times,7
8,26.97,50,False,True,2.23,0.22,thrice,6
3,5.53,74,False,False,8.33,0.45,thrice,5
6,10.02,86,False,False,1.67,4.99,twice,9
5,19.16,44,True,True,4.03,2.98,thrice,3
8,27.66,36,False,False,8.19,4.57,four times,6
1,8.52,42,False,False,3.3,4.55,twice,2
2,17.37,40,True,False,4.84,4.24,four times,4
8,30.35,79,False,True,0.2,4.15,four times,10
6,17.2,92,False,True,0.46,1.9,thrice,8
3,15.94,78,False,False,7.95,0.88,twice,10
3,17.9,59,True,False,3.67,0.24,twice,1
5,38.35,38,True,False,7.95,1.54,four times,9
8,34.69,46,False,False,9.09,1.7,thrice,2
1,12.19,37,False,False,7.71,2.33,four times,5
3,11.24,42,False,True,4.6,0.77,twice,10
3,13.27,55,False,False,1.49,0.19,twice,6
2,19.63,70,False,False,1.34,2.83,twice,4
1,15.18,85,True,False,2.61,3.56,thrice,7
6,10.34,68,False,False,1.1,4.56,thrice,9
2,17.4,95,True,False,5.37,2.59,four times,3
9,12.57,22,True,False,1.32,4.4,thrice,9
10,8.32,96,False,False,7.3,4.09,twice,1
4,13.89,35,True,True,3.47,1.64,twice,6
2,24.15,21,True,True,3.51,3.48,thrice,10
1,37.93,66,True,False,8.47,3.96,four times,6
5,8.1,68,False,False,6.79,4.18,twice,5
6,33.01,26,False,True,5.12,4.54,thrice,10
5,26.47,37,False,False,9.66,0.05,thrice,4
8,22.84,35,False,False,2.08,4.34,four times,5
6,17.34,34,False,True,5.04,4.92,thrice,4
6,24.65,58,False,True,0.91,1.87,twice,10
6,20.9,37,True,True,1.16,1.72,four times,9
9,16.13,60,True,False,7.94,1.87,four times,6
10,14.41,88,False,True,6.22,2.94,four times,5
7,37.37,85,False,False,4.15,1.91,thrice,4
6,32.18,85,True,False,0.58,0.24,thrice,8
9,5.4,31,False,False,3.22,2.68,four times,3
6,17.58,31,True,False,0.15,4.97,thrice,6
7,38.92,92,False,False,1.44,3.58,four times,1
9,28.86,22,False,True,0.58,4.77,thrice,3
8,18.16,48,True,False,0.64,0.76,four times,2
5,7.8,53,True,True,6.58,4.91,twice,3
2,32.32,27,False,True,0.9,3.64,thrice,8
10,32.14,58,True,False,0.86,1.01,four times,6
4,38.03,75,True,False,6.86,1.31,twice,3
6,15.11,76,True,False,2.99,1.07,four times,2
6,16.71,84,False,False,1.05,2.33,twice,3
2,21.83,67,False,False,4.4,3.18,four times,4
5,31.06,24,True,False,8.98,3.06,thrice,2
2,37.64,38,False,False,2.01,4.9,four times,3
6,8.03,54,True,False,4.87,1.22,thrice,10
10,17.48,68,False,True,3.85,3.64,thrice,1
6,28.82,76,False,True,5.58,1.35,thrice,9
5,22.54,28,True,False,0.62,0.72,four times,5
1,29.72,50,True,True,2.55,4.2,four times,5
9,16.14,97,False,False,3.61,0.7,thrice,7
9,25.05,47,False,False,8.74,3.9,twice,3
9,7.55,73,True,False,3.41,3.2,twice,6
8,5.37,44,True,False,5.94,2.12,four times,4
5,10.21,100,False,False,1.92,3.45,four times,8
5,6.01,84,True,False,2.04,2.71,twice,6
3,19.17,98,False,False,1.46,3.65,four times,3
1,28.13,69,False,True,4.06,0.48,four times,9
4,36.36,94,False,True,9.51,4.04,thrice,9
3,7.08,90,False,True,8.17,1.5,thrice,10
6,13.52,61,False,True,0.11,2.73,four times,8
7,19.33,67,True,True,1.92,3.8,twice,4
10,27.32,38,False,False,0.18,2.12,thrice,10
6,34.63,75,False,True,8.09,3.33,thrice,4
5,10.49,36,True,False,0.76,0.08,thrice,10
3,34.23,71,True,False,0.79,3.83,twice,6
6,34.4,77,False,True,2.75,2.57,four times,10
1,27.8,23,True,False,7.72,3.87,thrice,5
3,35.24,50,True,True,2.22,0.11,four times,7
7,32.86,25,True,True,6.06,3.9,four times,5
8,37.9,87,True,True,2.13,3.5,thrice,5
4,20.93,86,True,True,7.11,3.6,thrice,9
1,11.11,61,True,True,5.66,0.53,four times,9
1,16.64,25,True,True,6.11,3.53,twice,6
8,22.41,42,True,True,7.27,0.26,four times,1
2,15.96,99,True,True,9.89,3.06,four times,10
7,27.64,63,True,False,4.78,3.88,four times,6
3,8.97,99,False,True,1.89,4.48,thrice,1
2,6.75,97,True,True,6.45,3.96,thrice,8
6,32.35,72,False,True,6.59,4.85,thrice,7
7,12.69,85,True,False,2.69,0.17,thrice,10
3,32.81,35,True,True,3.05,2.2,twice,7
6,23.84,38,False,False,2.01,2.41,thrice,10
2,22.36,61,True,True,8.29,2.02,twice,1
10,38.73,26,True,False,1.09,4.05,thrice,9
7,18.7,70,False,True,6.9,3.96,twice,5
6,18.09,66,True,True,1.23,3.09,four times,1
3,12.52,75,False,True,4.22,2.37,thrice,9
3,23.94,29,False,False,5.82,1.87,twice,9
2,19.57,97,True,True,5.74,2.14,four times,1
1,14.84,38,True,True,0.72,3.57,four times,10
6,12.57,68,True,False,3.57,2.48,twice,5
5,28.68,56,False,True,3.56,1.87,thrice,6
5,26.94,37,False,True,5.26,0.23,twice,9
1,29.6,65,True,False,5.33,0.07,four times,6
3,6.95,61,True,False,1.01,0.52,four times,9
1,13.55,71,True,True,9.82,1.46,four times,7
8,38.02,30,False,True,4.72,3.38,twice,4
5,21.18,32,False,False,1.59,0.18,thrice,10
1,10.4,47,False,True,7.44,1.13,four times,2
8,19.47,90,True,False,7.14,2.44,thrice,4
3,20.48,28,False,False,8.35,4.66,twice,7
9,35.03,24,False,False,0.21,2.35,thrice,3
10,35.27,91,True,False,9.88,2.68,twice,5
5,36.73,35,False,False,0.58,4.56,twice,2
6,8.62,86,True,True,2.77,4.15,twice,2
2,12.57,68,False,False,6.74,2.34,four times,1
7,16.86,76,True,True,1.99,4.05,thrice,1
9,16.28,64,False,False,0.53,3.98,thrice,9
9,23.84,46,False,True,1.03,0.5,four times,4
7,10.54,59,True,True,0.85,2.0,thrice,9
4,25.04,44,False,False,1.46,1.54,four times,4
1,8.92,29,True,False,8.48,1.17,twice,5
2,10.31,61,False,False,9.61,1.96,twice,7
6,37.67,32,True,False,8.17,1.13,twice,7
7,10.06,30,False,True,3.72,2.48,twice,10
6,14.87,24,True,False,3.52,0.71,thrice,4
6,39.51,69,True,False,9.78,4.52,four times,7
6,31.81,44,False,False,6.12,4.68,four times,6
5,36.81,28,False,True,2.55,2.63,four times,8
3,8.41,68,False,True,9.75,3.76,thrice,2
4,17.87,23,False,True,6.47,2.05,thrice,2
10,25.18,31,False,False,5.46,4.4,twice,7
4,13.43,36,False,False,5.39,1.42,thrice,9
1,18.74,79,True,True,5.99,4.86,thrice,10
3,13.54,56,False,True,7.85,3.71,four times,10
8,34.69,56,False,False,8.03,0.92,thrice,5
5,30.57,39,False,False,4.64,0.25,thrice,10
1,17.37,93,True,False,2.22,4.91,four times,10
7,16.3,68,False,True,0.68,0.23,thrice,4
4,30.9,90,True,True,8.12,3.6,thrice,9
10,39.3,41,False,False,1.72,4.77,twice,1
10,27.41,98,True,True,2.68,2.59,four times,1
3,27.74,77,False,False,1.4,2.22,four times,8
2,35.09,50,False,True,9.6,1.29,twice,4
8,34.37,32,False,True,5.84,3.25,four times,6
8,34.74,22,False,True,6.09,4.97,twice,7
8,28.43,51,True,True,9.24,1.24,four times,3
7,14.06,39,True,False,2.44,2.51,four times,7
7,23.2,72,True,True,0.54,4.9,twice,10
5,28.33,25,False,False,5.12,4.56,thrice,7
10,8.89,32,False,True,4.36,4.81,four times,10
8,23.95,81,False,True,3.39,3.48,thrice,4
6,21.81,33,False,True,8.99,2.14,thrice,1
8,36.05,71,True,False,4.49,2.23,four times,7
1,39.72,26,False,False,9.34,1.5,twice,9
1,35.83,35,False,False,3.39,0.47,twice,1
6,15.94,51,False,True,7.53,3.27,thrice,5
4,15.97,27,True,True,8.01,1.73,four times,9
6,27.63,46,False,True,9.17,0.36,thrice,2
9,15.88,65,False,True,8.24,0.26,twice,6
2,32.03,95,False,True,9.77,0.83,four times,3
3,27.9,40,False,False,9.28,0.61,thrice,2
8,20.6,43,True,False,7.9,0.31,thrice,6
7,12.33,93,True,True,7.45,4.16,thrice,8
3,11.39,45,True,False,7.08,1.71,thrice,8
6,27.71,69,False,False,2.38,1.91,thrice,8
5,24.68,98,True,False,5.65,1.04,four times,5
4,18.73,73,False,False,8.63,3.96,four times,7
10,35.52,75,True,False,3.97,3.08,four times,2
10,19.3,51,True,True,6.5,2.17,four times,8
2,15.16,27,False,True,9.48,3.53,four times,7
1,9.9,78,False,True,7.74,3.35,thrice,5
10,30.09,91,False,False,7.35,2.73,thrice,1
4,32.2,61,True,True,1.64,4.68,four times,3
2,11.4,39,False,True,6.16,3.34,twice,5
2,38.37,70,False,False,3.59,2.38,four times,8
5,24.33,82,False,True,8.8,4.78,four times,5
7,31.49,33,True,False,9.42,3.48,four times,7
7,29.14,36,True,True,7.23,4.55,twice,2
5,33.95,67,True,True,4.65,0.9,twice,2
10,27.92,34,True,True,0.23,4.88,thrice,10
1,17.6,57,False,True,1.34,4.52,four times,9
8,10.75,36,False,False,4.39,1.16,four times,3
10,19.44,27,True,True,1.66,0.34,twice,8
2,32.68,80,True,False,0.18,2.51,twice,10
8,20.82,70,False,True,6.57,2.5,thrice,5
2,30.72,81,True,False,1.06,4.66,thrice,2
1,20.46,56,True,False,9.13,4.99,twice,5
2,8.29,35,False,True,6.92,2.79,four times,7
5,21.23,51,False,True,5.66,2.52,four times,3
8,26.17,91,False,True,9.98,2.96,four times,8
5,39.1,57,True,True,4.68,2.24,thrice,10
10,26.22,31,False,False,9.64,3.93,thrice,7
4,22.5,82,False,False,2.97,2.12,thrice,3
2,21.44,35,False,True,4.94,4.94,thrice,7
4,31.52,84,False,True,1.11,4.71,twice,6
